Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Tue, Oct 30, 2012",WAS,84,CLE,94
"Tue, Oct 30, 2012",DAL,99,LAL,91
"Tue, Oct 30, 2012",BOS,107,MIA,120
"Wed, Oct 31, 2012",SAC,87,CHI,93
"Wed, Oct 31, 2012",HOU,105,DET,96
"Wed, Oct 31, 2012",MEM,92,LAC,101
"Wed, Oct 31, 2012",SAS,99,NOH,95
"Wed, Oct 31, 2012",DEN,75,PHI,84
"Wed, Oct 31, 2012",GSW,87,PHX,85
"Wed, Oct 31, 2012",LAL,106,POR,116
"Wed, Oct 31, 2012",IND,90,TOR,88
"Wed, Oct 31, 2012",DAL,94,UTA,113
"Thu, Nov 1, 2012",OKC,84,SAS,86
"Fri, Nov 2, 2012",HOU,109,ATL,102
"Fri, Nov 2, 2012",MIL,99,BOS,88
"Fri, Nov 2, 2012",IND,89,CHA,90
"Fri, Nov 2, 2012",CHI,115,CLE,86
"Fri, Nov 2, 2012",MEM,104,GSW,94
"Fri, Nov 2, 2012",LAC,105,LAL,95
"Fri, Nov 2, 2012",SAC,80,MIN,92
"Fri, Nov 2, 2012",UTA,86,NOH,88
"Fri, Nov 2, 2012",MIA,84,NYK,104
"Fri, Nov 2, 2012",POR,92,OKC,106
"Fri, Nov 2, 2012",DEN,89,ORL,102
"Fri, Nov 2, 2012",DET,89,PHX,92
"Sat, Nov 3, 2012",TOR,100,BKN,107
"Sat, Nov 3, 2012",NOH,89,CHI,82
"Sat, Nov 3, 2012",CHA,99,DAL,126
"Sat, Nov 3, 2012",POR,95,HOU,85
"Sat, Nov 3, 2012",SAC,98,IND,106
"Sat, Nov 3, 2012",GSW,114,LAC,110
"Sat, Nov 3, 2012",DEN,116,MIA,119
"Sat, Nov 3, 2012",CLE,102,MIL,105
"Sat, Nov 3, 2012",UTA,100,SAS,110
"Sat, Nov 3, 2012",BOS,89,WAS,86
"Sun, Nov 4, 2012",DET,79,LAL,108
"Sun, Nov 4, 2012",PHI,84,NYK,100
"Sun, Nov 4, 2012",ATL,104,OKC,95
"Sun, Nov 4, 2012",PHX,94,ORL,115
"Sun, Nov 4, 2012",MIN,86,TOR,105
"Mon, Nov 5, 2012",MIN,107,BKN,96
"Mon, Nov 5, 2012",POR,91,DAL,114
"Mon, Nov 5, 2012",CLE,108,LAC,101
"Mon, Nov 5, 2012",UTA,94,MEM,103
